year;Albania;Andorra;Armenia;Austria;Azerbaijan;Belgium;Bosnia and Herzegovina;Croatia;Cyprus;Denmark;Estonia;Faroe Islands;Finland;France;Georgia;Germany;Gibraltar;Greece;Greenland;Hungary;Iceland;Ireland;Isle of Man;Italy;Kazakhstan;Latvia;Liechtenstein;Lithuania;Luxembourg;Malta;Moldova;Monaco;Montenegro;Netherlands;Norway;Poland;Portugal;Romania;Serbia;Slovak Republic;Slovenia;Spain;Sweden;Switzerland;Ukraine;United Kingdom
year_1970;2135479;24275;2525067;7467086;5180032;9655549;3760536;4412252;613618;4928757;1360076;39008;4606307;51957747;4119900;78169289;28601;8792806;46400;10337910;204438;2957250;55431;53821850;13036140;2359164;21268;3139689;339171;302650;2445328;23487;512407;13038526;3875763;32664300;8680431;20250398;6972000;4538223;1724891;33814531;8042801;6180877;47088862;55663250
year_1971;2187853;25571;2587716;7500482;5284518;9673162;3805286;4431275;620860;4963126;1376955;39456;4612124;52371320;4163000;78312842;29007;8831036;47200;10367537;206098;2992050;56352;54073490;13250211;2376389;21729;3179041;342421;302700;2479871;23721;515449;13194497;3903039;32783500;8643756;20461567;7013000;4557449;1738335;34224490;8098334;6213399;47435008;55896223
year_1972;2243126;26885;2650484;7544201;5385266;9711115;3851153;4450564;628002;4991596;1392518;39915;4639657;52793151;4205300;78688452;29353;8888628;48300;10398489;209137;3036850;57166;54381345;13463985;2395674;22161;3213622;346600;302450;2515217;24049;521785;13328593;3933004;33055650;8630430;20657957;7053000;4596622;1752233;34604469;8122300;6260956;47783006;56086065
year_1973;2296752;28232;2712780;7586115;5483088;9741720;3897259;4470161;635105;5021861;1405951;40395;4666081;53207744;4242500;78936666;29657;8929086;49000;10432055;212317;3085950;57919;54751406;13673014;2415819;22560;3244438;350450;302200;2549760;24445;530220;13439322;3960612;33357200;8633100;20835681;7091000;4641445;1766697;34988947;8136312;6307347;48125829;56194527
year_1974;2350124;29515;2773750;7599038;5579071;9772419;3942221;4490660;642322;5045297;1418169;40847;4690574;53592235;4279500;78967433;29886;8962022;49500;10478720;215209;3137500;58673;55110868;13869975;2437186;22985;3273894;355050;301996;2582697;24829;538902;13545056;3985258;33678899;8754365;21029429;7128000;4689623;1776132;35373335;8159955;6341405;48452623;56229974
year_1975;2404831;30705;2832752;7578903;5674129;9800700;3985107;4512082;649753;5059862;1429352;41292;4711440;53931390;4311200;78673554;30062;9046541;49600;10540525;217979;3189550;59482;55441001;14050227;2456130;23436;3301652;358950;304222;2611616;25203;546487;13666335;4007313;34015199;9093470;21293583;7163000;4739105;1793581;35757900;8192437;6338632;48755662;56225800
year_1976;2458526;31782;2889583;7565525;5768730;9818227;4025271;4535934;657524;5072596;1439576;41724;4725664;54220033;4342400;78336950;30179;9188150;49700;10598677;220154;3238050;60374;55718260;14212145;2470989;23933;3328664;360731;305774;2638126;25523;552562;13774037;4026152;34356300;9355810;21551634;7214000;4789507;1820249;36137812;8222286;6302504;49032729;56211968
year_1977;2513546;32769;2944375;7568430;5863138;9830358;4063188;4559571;665521;5088419;1450211;42133;4738902;54467709;4372100;78159814;30228;9308479;49400;10648031;221799;3282200;61335;55955411;14359629;2485073;24451;3355036;361358;306970;2660619;25811;557576;13856185;4043205;34689050;9455675;21756096;7258000;4840501;1842377;36511638;8251540;6281174;49287118;56193492
year_1978;2566266;33744;2997419;7562305;5957927;9839534;4100355;4581085;673253;5104248;1460188;42539;4752528;54691866;4397700;78091820;30224;9429959;49200;10684822;223537;3329100;62260;56155143;14499957;2497921;24968;3379514;362007;310182;2682309;26090;562065;13941700;4058671;34965600;9558250;21951464;7297000;4890125;1862548;36864898;8275599;6281738;49523304;56196504
year_1979;2617832;34825;3049107;7549425;6053635;9848382;4138816;4594778;680010;5116801;1468333;42941;4764690;54917110;4430200;78126350;30172;9548258;49600;10704152;225735;3373750;63026;56317749;14643133;2505953;25463;3397842;362856;313342;2703999;26391;566888;14038270;4072517;35247217;9661265;22090488;7332000;4938973;1882599;37191330;8293678;6294365;49747998;56246951
year_1980;2671997;36063;3099759;7549433;6150735;9859242;4179850;4599782;685408;5123027;1477219;43339;4779535;55161510;4467700;78288576;30068;9642505;50200;10711122;228138;3412800;63546;56433883;14796175;2511701;25881;3413202;364150;316645;2728099;26752;572608;14149800;4085620;35574150;9766312;22207282;7362000;4979815;1901315;37491165;8310531;6319408;49965872;56314216
year_1981;2726056;37498;3148096;7568710;6249312;9858982;4222479;4611509;689170;5121572;1487666;43725;4799964;55430278;4504500;78407907;29902;9729350;51000;10711848;230755;3453000;63778;56501675;14958897;2519421;26229;3432947;365225;318982;2754609;27162;579445;14247208;4099702;35898587;9851362;22353070;7405000;5016105;1906531;37758631;8320503;6354074;50221000;56333829
year_1982;2784278;39115;3193696;7574140;6349555;9856303;4265183;4634234;691716;5117810;1498414;44101;4826933;55718940;4542800;78333366;29698;9789513;51500;10705535;233860;3485800;63765;56543548;15128090;2531080;26533;3457179;365525;325898;2782725;27633;587001;14312690;4114787;36230481;9911771;22475741;7440000;5055099;1910334;37986012;8325263;6391309;50384000;56313641
year_1983;2843960;40854;3238592;7561910;6452067;9855520;4307907;4658254;694076;5114297;1508745;44483;4855787;56023775;4582900;78128282;29481;9846627;52100;10689463;236977;3510600;63697;56564074;15303316;2546011;26790;3485192;365622;330524;2811645;28091;594506;14367070;4128432;36571808;9957865;22560478;7468000;5091971;1922321;38171525;8329033;6418773;50564000;56332848
year_1984;2904429;42706;3285593;7561434;6557581;9855372;4350566;4680285;697715;5111619;1518617;44895;4881803;56337675;4622200;77858685;29284;9895801;52700;10668095;239511;3532423;63812;56576718;15483411;2562047;27028;3514205;365998;330593;2840565;28511;600884;14424211;4140099;36904134;9996232;22640547;7489000;5127097;1932154;38330364;8336605;6441865;50754000;56422072
year_1985;2964762;44593;3335935;7564985;6666447;9858308;4392135;4701417;703694;5113691;1528781;45328;4902206;56654703;4662900;77684873;29151;9934300;53200;10648713;241405;3538082;64277;56593071;15665594;2578873;27286;3544543;366706;336452;2867878;28836;605398;14491632;4152516;37201885;10023613;22732999;7504000;5161768;1941641;38469512;8350386;6470365;50917000;56550268
year_1986;3022635;46520;3392264;7569794;6778631;9861823;4435925;4721446;712335;5120534;1540190;45812;4918154;56976126;4704500;77720436;29096;9967213;53500;10630564;243180;3539690;65200;56596155;15852524;2599892;27552;3578914;368355;342121;2893584;29050;607711;14572278;4167354;37456119;10032734;22836841;7536000;5193838;1965964;38584624;8369829;6504124;51097000;56681396
year_1987;3083605;48459;3451947;7574586;6893486;9870234;4479516;4739745;723384;5127024;1552221;46340;4932123;57302642;4743500;77839920;29114;10000595;54100;10612741;245859;3540057;66476;56601931;16039253;2626583;27835;3616367;370750;344485;2918487;29156;608144;14665037;4186905;37668045;10030031;22949430;7558000;5222840;1989776;38684815;8397804;6545106;51293000;56802050
year_1988;3142336;50433;3504667;7585317;7010027;9901664;4509462;4755207;736476;5129516;1561900;46833;4946481;57627106;4790700;78144619;29164;10036983;54800;10596487;249740;3524949;67927;56629288;16205998;2653434;28135;3655049;373450;347325;2940177;29232;607413;14760094;4209488;37824487;10019610;23057662;7572000;5250596;1995196;38766939;8436489;6593386;51521000;56928327
year_1989;3227943;52452;3536473;7619567;7126877;9937697;4507819;4767260;751043;5132594;1568131;47159;4964371;57940199;4803300;78751283;29187;10089498;55300;10481719;252852;3511009;69263;56671781;16249500;2666955;28449;3684255;377100;350722;2957047;29309;606571;14848907;4226901;37961529;10005000;23161458;7581000;5275942;1996351;38827764;8492964;6646912;51773000;57076711
year_1990;3286542;54508;3538164;7677850;7159000;9967379;4463422;4777368;766616;5140939;1569174;47276;4986431;58235716;4802000;79433029;29149;10196792;55600;10373988;254826;3513974;70292;56719240;16348000;2663151;28790;3697838;381850;354170;2969097;29433;606372;14951510;4241473;38110782;9983218;23201835;7586000;5299187;1998161;38867322;8558835;6715519;51891400;57247586
